paper_id,pdf_type,gt_tables,pred_tables,matched,missed,extra,detection_rate,row_accuracy,cell_accuracy,text_accuracy,exact_match,fuzzy_match
2303.08774,text-based,15,18,7,8,11,46.7,93.2,88.8,97.5,81.6,16.0
2303.09040,text-based,19,14,14,5,0,73.7,97.2,94.7,94.9,76.7,18.2
2304.02643,text-based,19,8,8,11,0,42.1,93.5,81.7,96.0,67.7,28.3
2305.09617,text-based,15,15,5,10,10,33.3,81.3,81.3,100.0,81.9,18.1
2305.10403,text-based,34,36,28,6,8,82.4,89.0,88.4,86.7,70.4,16.3
2305.18290,text-based,10,14,10,0,4,100.0,88.8,91.6,76.6,58.5,18.1
2306.05685,text-based,17,20,16,1,4,94.1,81.4,81.7,86.1,79.3,6.8
2307.09288,text-based,46,61,41,5,20,89.1,88.0,86.7,86.4,62.9,23.5
2307.15189,text-based,4,8,3,1,5,75.0,100.0,100.0,100.0,95.2,4.8
2308.12950,text-based,24,31,23,1,8,95.8,95.8,94.0,71.5,46.1,25.3
2309.16609,text-based,17,34,15,2,19,88.2,89.9,90.6,85.8,64.2,21.6
2310.06825,text-based,3,7,3,0,4,100.0,83.3,81.0,70.8,50.0,20.8
